Marqaa gubataa, nama hubataatu arga.
Nama, namaan dhiiban.
Naman ani sabbata jedhe mudhiitti hidhadheetu, bofa ta'ee na nyaate.
Nafan dhiqadha jedhee, aamoleen bishaan keechatti hafe.
Nafa ofiituu, abbaadhaa naha.
Nafa dhayanii, laqfa midhan.
Nafti haaduudhaaf kennaan, naman dhukkubu.
Nafti irraagadee jibba, sulanimmoo awwaara jibba. 
Nafxanyaa filachuun ibadda, bobaa keessa olkaawachuudha.
"Nagaan yaa bishaan hidha dheeraa, nu se'echi daadhuma dhugna" jedhe namichi kanniisa qabate.
"Nagaatti yaa bishaan," jedhe kanniisa takkittii qabatee.
"Nagaatti yaa bishanii," jedhe kanniisa tokkitti qabatee.
Nagadaafi ragaan, walbira hin taa'u.
Nagada wal laalteeti, gabaa komatti.
Nama dubartiin ergite du'a hin sodaatu
"Nama dubbi hin beekne talbaa mataa irrati akkaawwuudha," jedhe kan harki gawu.
Nama du'e, mormi dheeraadha.
Nama ergaan barate, gabaatu harree qabsiifata.
Nama fardaan barbaadaniitu, miilaan nama barbaada.
Nama fardaan barbaadan, lafa argu.
Nama fardaan barbaadan, lafoo argu.
Nama fardaan barbaadan, lafoodhaan argan.
Nama fardaan barbaadan, dhiyootti argatan.
Nama farda koo yaabbatetu, guddina koo beeka.
"Nama fayyaa qabuuf, ijji qoosaadha" jette jaartiin.
Nama foon beeku, sombaan hin soban.
Nama jiraatutu, waa arga.
Nama jiruutu, waa arga.
Nama jiruutu, waa hunda arga.
Nama jiruutu, waan hunda arga.
Nama keessa, namni jira.
Nama kennee hin beeknetti, kennuun idaa itti ta'a.
Nama kokkolfaa nama miidhuufi waaqa addaataa roobu, garaasaa hin beekan.
Nama lafatti wal didaniin, muka hin koranu.
Nama malli ajjeese, malatu kaasa.
Nama mana tokko ijaaru, citaa wal hin saamu.
Nama mufateef, dhiyaanni irbaata ta'abom
Nama na gootee, fardaan na ariite.
Nama, namaan dhiiban.
Naman ani sabbata jedhe mudhiitti hidhadheetu, bofa ta'ee na nyaate.
Nagaduun yaa bu'uufi, ajjeesuun yaa duuu
Nagaduun yaa bu'uuf, rukutuun yaa du'uuf.
"Nagayaatti yaa nuugii," jette talbaan konkolas korteetoo.
"Nagayee na kennaa," jette intalli.
Na haa nyaatuun, beela hin baasu.
"Na jaalattaan, lapheetti ol na kaattaa" jette niitin dhirsaan.
Na jaaladhuun, jaalala hin taatu.
Na jaal'uun, jaalala hin taatu.
Na jajuun, jaalala hin ta'u.
"Na laalu" jettee, adurreen leenca fakkaattee.
"Namaaf, duuti hin anqata" jette sardiidoon.
"Namaafuu, nama hin nyaannu" jette budaan.
Namaa gadiin, jechi namaa oli.
Namaa gadiin, warra sodaatti galti.
"Qoosaa ijaa," jedhe ballaan.
"Qoosaa ijaa, naa 'eeggadhu !" jette ballaan. 
"Qoosaa ijaa, na 'eegadhu" jette ballaan.
"Qoosaa ijaatii," jettee jaartiin qullubbii hatte.
"Qoosaa keessa, harka na buqqista yaa culullee," jette antuunni.
Qoosaa keessa, sareen diingatti ol dabarti.
Qoraan, akkuma abbaan hidhatetti.
Qoraan yoo dhoowwatan malee, ibiddi hin dhaamu.
Qoraasumni qaama urgeessaatti, ufii gubata.
Qoree duraan dirte, hiyeessi hokkola.
Qoreen abbaa dhaabe, woraana.
Qoreen abbaan dhaabe, abbuma waraana.
Qoreen, abbuma dhaabe waraana.
Qoree namatti cabe, qorumatu baasa.
Qoreen baasaa dhabaaf, faana badde.
Quba ofii, ajaaye jedhanii hin muran.
"Quba wajjin," jette dammi.
Qubni abbaan of kaa'e, keessaan fuudhaa hin qabu. 
Qubni abbaan of kaa'e, dhiibbaa hin qabu.  
Qubni abbaan of kaaye, jibba hin qabu.
Qubni abbaan of kaaye, dhidhiibbaa hin qabu.  
"Qubni ajaa'e," jedhanii ofirraa hin muran.
"Qubni ajaaye," jedhanii muranii hin gatan.
Qubni, quba caala.
Qubni, quba caalti.
Qubni, quba dabarti.
Qubni tokko, fuula hin dhiqu.
Qubni tokko, qomaaxaatti birqiidha.
Qubni tokko, titiisa hin qabu.
Qullubbi baay'eesi nyaatan, xiqqoosi nyaatan ajaani qixxuma.
Qotiyyoon abaaramaan, gaafa du'e gogaan isaa dibbee ta'a.
Qotiyyoon ergisaa, ganda isaatti harkisa.
Qotiyyoon ergisaa, gara mana isaatti harksa.
Qotiyyoon ergisaa, gara qe'eetti harkisa.
Qotiyyoon gaafa cabasaa, horaaf deema.
Qotiyyoon harree wajjin 'oole, dhuufuu baratee gala. 
"Qotiyyoon hin qotaa" jennaan, "ciiseetillee," jedhe,
"Qotiyyoon keeti" Jennaan, qotee bulaan dhugaa se'e.
Qotiyyoon marga arge, hallayyaa hin agarre.
Qotiyoon marga malee, allayyaa hin argine.
Qotiyyoon qotiisaa hin bobbaane, qambara cabsuudhaaf.
Qotiyyoon qotuuf dhufe malee, qanabara cabsuuf hin dhufne.
Qarri, qara hin muru.
Qarri qottoo, dhagaa hin muru.
Qarshiifi haati, muufii hin qabdu.
Qarshiinifi haati, moofaa hin qabdu.
Qarshiin qaba jettee hin faxuuliin, nama dhaana jettee hin maliin.
Qawween ofuma dhooftee, ofumaafuu iyyiti.
Qiixxaa haati garagalchiteeti, xuurii Waaqni garagalcha.
Qiixxaa harkatu gargalcha, xuurii baratu garagalcha.
Qilleensiif iyyeessi, hin teessu.
Qilxuun harbuu fakkaata malee, harbuu miti.
Qirraarii kennanii, farsoo nama hin dhoowwatan.
Qixxee fardaatan utaala jetteeti, qalaamaan raaree dhaqxee.
Qotiyyoon wajjin camadamte, wajjin hiikamti.
Qottee qotteeti, hindaaqqoon haaduu ittiin qalan baafti.
"Qottoo miti, jaallaa nu keessaatu nu frixe," jedhee mukti.
"Qottoon maal nu godhee, kan nu fixe kan wajjin dhalanne," jedhe mukti.
Qottoon, of hin qartu.
"Qopha'aa bittuu," jedhe namichi foon gabaa baasee.
Qophaa nyaattuun, qophaa duuti.
Qopheessuu wallaaltee, kadhaa dhaqxe.
Quba abbaan of kaa'e, harkisaan hin qabu.
Quba abbaan of kaa'e, dhiibbaa hin qabu.
Quba cabe, kan itti 'aanutti hidhan.
Quba ofii, ajaa'ee jedhanii kutanii hin gatan.
Qixxee leencaatan barooda jetteeti, booyyeen hudduudhaa dhoote.
Qixxee leencaatan bookkisa jedheeti, booyyeen hudduudhaa dhooye.
Qixxee tafkiitan utaala jetteeti, injiraan tafaa foxxoqxe.
Qixxuma nyaannaan, qixxuma taane.
"Qocaa! sitti muran" jennaan, "Waaqni beeka," jedhe.
Qola gubbaa mitii, keessa hubbadhu.
Qomaaxaa, akka du'etti awwaalan.
Qomaaxaa, akka duutetti awwaalan.
Qomaaxaaf, qubni takka birqiidha.
Qomaaxaan quba tokko qabdi, ishuma agarsiifatti.
Qomaaxaatti, qubni takka miidhaga.
Qomaaxaatti, qubni tokko birqiidha.
Qaalluu doofaa, hin saaman.
Qaalluu yoo miidhu, dhuufuu itti baayyisa.
Qaalluun han ofii hin beektu, han namaa raagdi.
Qaalluun han ofii hin beektu, han ormaatti raagdi.
Qaalluun kan ishee hin beektu, kan namaa xibaarti.
Qaalluun kan mataashee hin beektu, kan namaa raagdi.
Qaalluun kan ofii hin beekne, kan ormaa raagadi.
Qaalluun kan ofii hin beektu, kan namaa xibaarti.
Qaalluun kan ofii hin beektu, kan ormaati xibaarti.
Qaalluun kan ofiituu hin beektu, kan gandaa raagdii.
Qaalluun tan ofii hin beektu, tan ormaatiif morma raafti.
Qaalluun tan ufiituu hin beenne, orma falti.
Qaaman dhiqadha jedhee, soogiddi bishaan keessatti hafe.
Qullubbiin baay'atus xiqqaatus fooliin tokkuma.
"Quiqullina kiyyaattan garba dhaqe" jette handoodeen.
Qunceen muka tokkoo tokkoti hin qabattu.
Qunceen tokko tokkotti hin maxxanu.
Qunnaa namaaf ittiin safaran odo ittiin hin safaratiin hin hafan.
Qunnaan ormaaf hodh'an abbumaaf safara.
Qunxur mana fixee cimmis mana guute.
Quqquuqaa cinaachaa kan afu hin argu, kan rafutu arga.
Quqquuqaa itillee kan afu hin beeku kan rafu malee.
Quqquuqaa itillee kan rafu malee kan hafu hin argu.
Quqquuqaa itillee nama rafu malee kan afu hin beeku.
Quqquuqaan itillee nama rafutti malee nama afutti hin beekamu.
Qabeenyi, sodaa qaba.
Qabeenyi warraa, intalaaf hin ta'u.
Qabeenyi warraa, intala doobbii guuraa hin oolchuu
Qabeenyi warra gurbaa, intala raafuu guuruu hin 'oolchu.
Qabeenyi warraa, intala raafuu gurguruu hin dhoowwu.
Qabeenyi warraa, nama hin 'oolchitu.
Qacceen, ofii dhaanteeti ofii iyyiti.
Qacceen, ofii dhoofteeti ofii iyyiti.
Qalaamaan ganyaa, akkatti sangaan fardaa bulu quba hin qabu.
Qalaamaan hoo mise, fardi misa.
Qalaamaan yoo mise, fardi misa.
Qalan malee, cooma hin argan.
Qalan moora argan, dubbatan malee dubbii hin argan.
Otoo farda hin bitiin, gola ijaaruu.
Otoo hin ajajiin sareen gabaa baatee, arraba baasaa galti.
Otoo hin qaliin muree afaan na guute.
Otoo hin tuqiin, doobbiini baala.
Otoo hin utaaliin dura, bakka itti qubattu ilaalladhu
Otoo hin dhaliin, fardi kooraa baata.
Otoo kaatanuu kan hidhatan, otoo kaatanuu hiikkata.
"Otoo kaatuu nyaataa," jennaan "otoo arguu gaafataa," jedhe.
Otoo kan siin jedhan beektee, kan sii kennan hin nyaattu.
Otoo kan siin jedhan beektee, yaa saree kan kan si kennan hin nyaatu.
"Otoon kolfuu, gubadhaa," jette talbaan.
Qalqalloon, waan itti naqatan baatti.
Qalqalloon, waanuma itti kennani fuuti
Qamadiin, ofittuu kofalti.
Qamaleen, abbaa argu argite.
Qamaleen, abbaa harbuu ari'atte.
Qamaleen, abbaa 'oobdii ariite.
Qamaleen, abbaa 'ooru'u ari'atte.
Qamaleen, abbaa 'ooruu ari'ata.
Qamaleen, abbaa oyiruu ariite.
Qamaleen, abbaa oyruu ari'atte.
Qamaleen,abbaa oyru'u ariitee.
Qamaleen, abbaa warraayyuu ariite.
Qamaleen, ofii hin kufu abbaan of hin tufu.
Qamaleen sanyii gadhee, reeffa fira ofiitti kolfiti.
Qamalee, raafuu keessatti argu.
Qamaleerra, jaldeessatu hadhaa qaba.
Qooda bineensi na nyaatu, bineensa nyaadheen, waan dhufu danda'a.
"Qooda gannaafi bonaa," jette ijoolleen tuulaarratti abidda keesse.
Qoonqoofi karaan, kan itti deemu hin dhaban.
Qoonqoofi 'ookkoon, ofitti fuuti.
Qoonqoo guddina, cubbuxoo hin liqimsan.
Qoonqoon, addaanuu liqimsiti.
Qoonqoon bara beelaa, midhaan midhaan jetti.
Qoonqoon bilchina eeggatee, qabbana dadhabe.
Qoonqooniifi boolloon, addumaan.
Qoonqooniifi hookkoon, gara ofitti fuuti.
"Qoosaa ijaa," jette ballaan.
"Qoosaa ijaa," jette ballaan ilmaan.
"Qoosaa ijaa," jette jaartiin.
"Qoosaa ijaa," jetti ballaan.
Qotiyyoo abbaan gaafa cabse, ormi ija balleessa. 
Qotiyyoo abbaan gaafa cabse, ormi ija jaamsa.
Qotiyyoo adiin, qotiyyoo gurraacha mo'e.
Qotiyyoo cisaa, qorichi isaa halangaadha.
Qotiyyoo gaafa guddaa, galuu hin dhoowwiin, gaafni isaatuu hin dhoowwaa.
Qotiyyoo gadi jedhee adeemu, hamma inni harkisu hin beekan.
Qotiyyoo gadi jedhee deemu, amma harkisu hin beekan.
Qotiyyoo gadi jedhee deemu, amma qote hin beekamu.
Qotiyyoo gadi qabee qotu, hamma harkisu hin beekan.
Qotiyyoo gadi jedhee qotu hamma qotu, hin beekan.
Qotiyyoo hamaa jiru, eeffanni bishaan hin dhugu.
Qoree, qoreetu baasa.
Qorii, gurra nyaatan.
Qoricha baala beekan, hundeen nama hin dhibu.
Qoricha gola jiru, fardaan barbaadan.
Qorichi baala argan, hundeen nama hin dhibu.
Qorichi du'aa, du'a.
Qorichi mataa, yoo itti iyyan.
Qorichi quufaa, bokoka.
Qorichi, xinnaa hin qabdu.oo
Qorra, dirribaan hin dhoowwu dirra malee.
Qorra, dirribni hin dhoowwu dirra malee.
Qotan malee, hin qufan.
Qotateen, yoo aramate.
Qotee bulaan waxabajjii du'e, waxabajjii malee hin ka'u.
Qotee bulaan waxabajji kufe, waxabajjii malee hin ka'u.
Qarri, qara hin muru.
Qarri qottoo, dhagaa hin muru.
Qarshiifi haati, muufii hin qabdu.
Qarshiinifi haati, moofaa hin qabdu.
Qarshiin qaba jettee hin faxuuliin, nama dhaana jettee hin maliin.
Qawween ofuma dhooftee, ofumaafuu iyyiti.
Qilxxaa haati garagalchiteeti, xuurii Waaqni garagalcha.
Qilleensiif iyyeessi, hin teessu.
Qilxuun harbuu fakkaata malee, harbuu miti.
Qirraarii kennanii, farsoo nama hin dhoowwatan.
Qixxee fardaatan utaala jetteeti, qalaamaan raaree dhaqxee.
"Qambaran cabsaa, nan camadinaa" jedhe hindaaqqoon.
Qanbarrii sissiqxuun, ijoolle beelessiti.
Qanqalloo heexoo, heexoonis keessaa dhumu hadhaan hin dhumu.
Qaqallachaa, 'ooli farsoon qirraarii hin qabdu.
Qarabaatti hin raasan milmootti hin dhimbiiban.
Qara darbe, jinfuun nama hin waraanu.
Qareen qaree sobee, gadoo idaate.
Qareen qaroo sobee, gadoo ida'ate.
Qareen qaroo sobee, gadoo hidhate.
Qarqaraan seeni jennaan, dhundhumaan seente.
Qarri daacciidha, gowwaan bililleedha.
Qarriffaa saree, lafeerratti sodaadhu.
Qarri garii, waa hin waraanu.
Qarri lama, wal hin muru.
"Quufeen nyaadhee bula," jedheeti du'ee bule. 
"Qufeetan bula," jedheeti du'ee bule iyyeessi. 
Quufne jedhanii, dhadhaa hin cirriiqfatanii.
Quufni, cubbuxoo malee nama duulchisa. 
Quufni, galaa malee nama duulchisa.
"Quufteeti gandarra deemti," jedhe namtichi kadhattuu saame.
Quuftuun ijoollee, lafa rukuttee boossi.
Quuftuun ijoollee, lafa rukuttee boochi.
Quuftuun ijoollee, lafa rakutteeti boossi.
Quuftuun ijoollee, lafa rukkuteeti boochi.
Quuftuun ijoollee, lafa rukutteetu boossi.
Quuqaa cinaachaa, abbaan afu hin beeku abbaa rafutu beeka.
Quuqaa cinaachaa, kan afu hin argu kan rafu malee. 
Quuqaa cinaachaa, kan afu hin argu kan rafutu arga.
"Otoo nyaadhu naan jedhee, akka abbaa kiyya na kukkuta," jette qomaaxaan.
Otuu hin daraariin, bilchaachuu.
"Oshee," jennaan harreen Goojjam gurra dhaabde.
Qalan moora argani, dubbatan dubbii argani. 
Qalbii du'uurra, lubbuun du'uu wayya.
Qalbii hin dhalataniin, dubbii hin baratanii. 
Qalbii malee, ijji hin argu.
Qalbii malee, ijji hin argitu.
Qalbii malee, ijji hin agartu.
qalbii malee, ijji lafa hin agartu.
Qalbiin as teecheeti, gurraa farda arbaa ajjeestii.
Qalbiin dubartii takkaa, takkittii sanuu dhungatan hin baddi.
Qalbiin gadheen, yartuu nama gooti.
Qalbiin gorsaa, gola hin dabartu.
Qalbiin gorsaatiif midhaan liqaa, bakka ishii hin dabartu.
Qalbiin gorsaatiifi midhaan liqaa, bara nama hin baasu.
Qaamatu dullooma malee, onneen hin dulloomu.
Qaamatu dullooma malee, onneen hin dulloomtu.
Qaaniin bannaan, lukkuun loon dura galti. 
Qaanii waallaaltee, lukkuun loon dura galte. 
Qayee gowwaatii, moofara murani.
Qabbanniifi fixeensi, ganamaan.
Qabbanni boosoo, du'a dhirsaati.
Qabbanooftu harkaan, 'oo'ituu fallaanaan.
Qabbanti raacha, fayyaan billaacha.
Qabeenya qaba jettee hin booniin, qabeenyi fixeensa ganamaati.
Qabeenyatu, dhadhaa saphii dibe.
Qabeenyi abbaa intala doobbii guuraa hin 'oolchu.
Qabeenyi abbaa, intala raafuu guuruu hin dhoowwu.
Qabeenyi, fixeensa ganamaati.
Qabeenyi, hamma fixeensaati.
Osoo hin hubatiin, qubaa hin gubatiin.
Osoo hin liqimsiin, arraabee fixe.
Osoo hinqallin, muree afaan na guute.
Osoo hin raflin, abjoote.
Osoo hin dhaliin, fardi kooraa baata.
Osoo horiin hin galiin, hattuun foonaa guutte.
Osoo horiin hin galiin, hattuun mooraa guutte.
Osoo ishee hin ga'iin liqeessitee, osoo hin fudhatiin duute.
Osoo kaatanuu dhaabaniiti, osoo taa'anuu qaban.
"Osoo kaatuu nyaataa," jennaan "osoo arguu gafataa," jedheen.
Osoo kan ergus kan ergamus, anuma ta'ee.
Osoo laphee hin bitiin, oduu hin baay'isan.
Osoo loon hin galiin, hattuun foonaa guutte.
"Osoon beekuu, huubaa wajjiin," jette sareen.
Osoon dhala eeguu, ulfa dhabe.
Osoo of hin hubatiin, doobbii hin lagatiini.
Osoo qilxuun hin dadhabiin, simbirri wal dadhabdi.
"Osoo dhadhaa qabaannee, hudduun nu hin luqqa'u," jette jaldeessi.
Osoo nyaatu du'a, osoo kaatu kufa.
"Osoo nyaadhu jedhe, akka abbaa kootii na kukkutta," jedhe qomaaxan.
Osoo nyaadhu naan jedhee, maaliif ijoollee koo sagal godhaa.
Otoo bakka kee himbeekiin, raafuu hin lagatiin. 
"Otoo beeknuu, fura wajjin," jette sareen. 
"Otoo beeknuu, huuba wajjin," jette sareen.
"Otoo beeknuu huuba wajjin," je'e sareen.
"Otoo beennuu, fura wajjin," jette sareen.
"Otoo beettee, nattuu hin duttu," jedhe qeerransi sareen.
Oromoon noorii hin dhiisu, bakka ofii hin gadhiisu.
Oruu dallaa jalaafi nama gabaabaa, ayyaantuutu argata.
"Osoo akka anaatii, balbala hin cufatan," jedhe bineensi.
Osoo akka hawwiitii, gola qotanii diinga araman. 
"Osoo akka kiyyaatii, warri hundi karra hin cufatan," jedhe waraabessi.
"Osoo beeknuu, huuba wajjiin," jette sareen. 
Osoo bukoon miidhagee, daabboon miidhaga.
Osoo dullachi jiruu, jabbiin duuti.
Osoo gowwaan taa'uu, beekaan dubbii fannisa.
"Osoo haamaan harca'u, agartanii naan facaafatan," jette xaafiin.
Osoo haati jirtu, buchullaan garaadha dutte.
Osoo haatuu, lukkuun waan ittiin qalamtu baafte.
Ol kaatanii dadhaban, gadi deebi'anii. 
Ol kaatanii dadhaban, gadkaatan.
Ol kaatanii dadhaban, gadi kaatan.
Ol kaatanii yoo dadhaban, gadi kaatan.
Ol kaatanii dhadhaban, gaduu kaatan.
Ol kaatan malee, gad hin kaatan.
Ol kaawa boosoo, qallaba hantuutaa. 
Ol kaawan malee, kaatanii hin fudhatan.
Ol kaawwatan malee, ol ka'anii hin fudhatan.
Olkaawiin boosoo, qallaba hantuutaati.
Ol kaawwatan malee, ol kaatan hin argatan. 
Ol kaawwatan malee, ol kaatanii hin fudhatan. 
Olkaayaan boosettii, qallaba hantuutaati.
Ol kaachuu dadhaban, gadi kaatan.
Ol kaachuu yoo dadhaban, gadi kaatu.
Ol ka'ee yoo dhabe, gad ka'a.
Orman huba jetteeti, mukaan ija of waraante
Ormi akkam bultee beekaa, akkatti bule abbaatu beeka.
Ormi boo'ee gala, rakkoon warratti hafa.
Ormi boo'eeti gala, rakkoon warratti hafa.
Ormi boo'eeti gala, rakkoon warratti hafti.
Ormi boonaa yaada, ani boontuu tiyyaan yaada.
"Ormi rafee," jette jaamaan diinga dhaabbattee. 
Oromoon farda birrii dhibbaa biteeti mi'a birrii shantama dadhabda.
Oromoon, hooda buluu jaalata.
Oromoon kan jabaa hin nyaanne, jabaa baata.
Oromoon karaa kuttee, odoo dubbii hin kutiin gala.
Oromoon karaa kutee, osoo dubbii hin kutiin deebi'a.
Oromoon mooraan buleeti, Amaarri macaafaan bula.
Ol lufil gad lufii, galgala gara boolloo ofii.  
Ol na qabiifi gad naqabiin, du'a naman oolchu.
Ol siqaan, surree bitate.
Ona taa'uu mannaa, onattii takka wajjiin taa'uu wayya.
Onnee 'eela'e, humnaaf dhadhaban.
Onnee lola malee, uleen hillolu.
Onnee malee, lola baay'isuun nama gaabbisiisa.
Onnee malee lola dhaquun, madaa baay'isuudha.
Onneen argu, malee ijji hin argu.
Orma garaa geenya yoo jedhan, of garaa hangatan.
Orma garaa geenyaan, garaa lafaan nama ga'a.
Orma garaa geenyaatti, garaan lafa nama ga'a.
Ol kaatanii dadhaban, gadi deebi'anii.
Ol kaatanii dadhaban, gadkaatan.
Ol kaatanii dadhaban, gadi kaatan.
Ol kaatanii yoo dadhaban, gadi kaatan.
Ol kaatanii dhadhaban, gaduu kaatan.
Ol kaatan malee, gad hin kaatan.
Ol kaawa boosoo, qallaba hantuutaa.
Ol kaawan malee, kaatanii hin fudhatan.
Ol kaawwatan malee, ol ka'anii hin fudhatan.
Olkaawiin boosoo, qallaba hantuutaati.
Ol kaawwatan malee, ol kaatan hin argatan.
Ol kaawwatan malee, ol kaatanii hin fudhatan.
Olkaayaan boosettii, qallaba hantuutaati.
Ol kaachuu dadhaban, gadi kaatan.
Ol kaachuu yoo dadhaban, gadi kaatu.
Ol ka'ee yoo dhabe, gad ka'a.
Orman huba jetteeti, mukaan ija of waraante
Ormi akkam bultee beekaa, akkatti bule abbaatu beeka.
Ormi boo'ee gala, rakkoon warratti hafa.
Ormi boo'eeti gala, rakkoon warratti hafa. 
Ormi boo'eeti gala, rakkoon warratti hafti.
Ormi boonaa yaada, ani boontuu tiyyaan yaada.
"Ormi rafee," jette jaamaan diinga dhaabbattee.
Oromoon farda birrii dhibbaa biteeti mi'a birrii shantama dadhabda.
Oromoon, hooda buluu jaalata.
Oromoon kan jabaa hin nyaanne, jabaa baata.
Oromoon karaa kuttee, odoo dubbii hin kutiin gala.
Oromoon karaa kutee, osoo dubbii hin kutiin deebi'a.
Oromoon mooraan buleeti, Amaarri macaafaan bula.
Ol lufil gad lufii, galgala gara boolloo ofii. 
Ol na qabiifi gad naqabiin, du'a naman oolchu.
Ol siqaan, surree bitate.
Ona taa'uu mannaa, onattii takka wajjiin taa'uu wayya.
Onnee 'eela'e, humnaaf dhadhaban.
Onnee lola malee, uleen hillolu.
Onnee malee, lola baay'isuun nama gaabbisiisa.
Onnee malee lola dhaquun, madaa baay'isuudha.
Onneen argu, malee ijji hin argu.
Oolaan gooftaa cimaa qabdu, duboo ala bulchitee rafti.
Ormaan, hooda bula.
Orma garaa geenya yoo jedhan, of garaa hangatan.
Orma garaa geenyaan, garaa lafaan nama ga'a.
Orma garaa geenyaatti, garaan lafa nama ga'a.
Ollaafi dugdaan, lafaa ka'u.
Ollaa hamaan, indaaqqoo horsiisa.
Ollaa hamaan, mi'a nama bichisiisa.
Ollaa hamaan, dhukkuba sombaati.
Ollaan akkam bultee beekaa, akka itti bule abbaatu beeka.
Ollaan akkam bultee beekaa, akka itti bulu abbaatu beeka.
Ollaan bultee beeka, akka itti bule abbaatu beeka.
Ollaa namaa qubachuun, hamma namaa hubachuudha.
Ollaan hamaan kan galu malee, kan ba'u himbeeku.
Ollaan hamaan kan seenu malee, kan ba'u hin argu.
Ollaan hamaan, jabbilee hootu camada.
Ollaan hamaan, dhukkuba sombaati.
Olis kaattu gadis kaattu, allaattii reeffi lafa.
Olis kaattu gadis kaattu, kan harree fe'umsa.
Olis kaattu gadis kaattu, reeffi allaattii lafa.
"Olis kaadhu gadis kaadhu hagabuu himbulu," jette sareen.
"Olis kaadhu gadis kaadhu, koo baa'aa hin darbu," jette harreen.
Olis kaachiftu gadis kaachiftu, irraangadeen tabba hin qabu.
Oljettuu akka 'eegee re'ee, fokkiftu akka 'eegee saree.
Olkaa'aa boosachaa, qallaba antuuta.
Olkaa'an malee, ol fiigan maal argatu.
Olkaa'an malee, ol kaatan maal fidaan. 
Ol ka'aan, ol hiixataan hin fuudhan.
Ol kaata dadhabanii, gadi kaatani.
Ollaan kan hin beekne, gingilchaan kan hin quiqulleessine hin jiru.
Ollaan namaa, kafana namaati.
Ollaan rafu malee, hirrafan.
Ollaan rafu, rafan.
Ollaan rafu, rafani.
Ollaan rafu, rafanii.
Ollaan saree gandaan nama laba, ollaan allaattii mukaan nama kora.
Ollaan yaraan, meeshaa nama bichisiisa.
Ol baanaan gadi nama buusa.
Ol deemtee gadi deemtu han harree fe'u suma.
Olguurama mucaa, buchillaan garaatti hawwiti.
"Olis baanu gadis buunu, keenya ba'aan ba'uma," jette harreen.
Olis badu gadis badu, kan harree fe'umsuma.
Akka abaluuti sirbaan moorma nama jalisa
Aannan dhiiraa ol kaa an qilleensa hin naqan
Aantuunni hin kufu, abbaan orii hin tufu
Aaraa jedhanii udduu ol hin butan
Aara harree daawwaa rukutan
Aara harree daawullaa rukutan
Aara harreetti fe iisa rukutan
Aaran hudduu ol hin hifkatan
Aarki dabree walii dhiqa
Aartu kutadhu, jedhe namichi saree biddeena dhoowwatee
Aartu qaladhu, jedhe namtichi sareedhaan
Abbaa niitii na fuusisi," jennaan,   "yoo midhaan tole haateerratti nan dabaladha,  " jedhe jaarsi
Abbaa biyyaa ta uun nama hin dhibu biyya bulchuutu nama dhiba
Abbaafi ilma hangafatu haadha wajjin deema
Abbaa gabaabaa daa imni hiri aa seeti.
Abbaa gabaabaa ijoolleen abbaa hin se an
Abba gaarii irraa dhalachuu mannaa hiree gaariin dhalchuu woyya
Abbaa gaaridhaa mannaa carraa gaari woyya
Abbaa hin beektuu akaakayyuu yaaddi 
Abbaa hin qabdu akaakayyuuf boochi
Aabaa hoo tuffatan saree jalatti dhahan
Abbaa jaalatan ilma saa dhungatan
Abbaa jedhanii obboo hin jedhan
Abbaan beekaa ta eef ilmi beekaa ta uu hin danda'u
Abbaan biyyaa amma biyyaati gaha
Abbaan biyyaa hamma biyyaa gaha
Abbaan bookaa dhugeef ilma afaan hin urgaa'u
Abbaan cabsa ofitti hin dabsu
Abbaan damma nyaateef ilma afaan hin mi'aawu
Abbaan damma nyaateef ilmi afaan hin minyaawu
Abbaan duroomeef intalti raafuu gurguruu hin dhiistu
Abbaan farda namaa bita malee, humna namaaf hin bitu
Abbaan farda nama bita malee, onnee namaa hin bitu
Abbaan farda namaa bita malee, onnee namaa hin ta'u
"Abbaan gaafa ofii hin dadhabu" jette duullattiin
Abbaan gaariin nama dhalchuu mannaa hiree gaarii dhalachuu wayya
Abbaan hin argu tafkiin gurra fixxe
Abbaan manaa haga manaa gaha
Abbaan iyyatu malee gandi namaaf hin birmatu
Abbaan iyyatu ollaan birmata
"Abbaan kee du'e" jennaan, "hamaan ollaa kiyaatu du ee duraan isa awwaalla," jedhe.
"Abbaan kee eenyuu,  " jennaan,  "akaakayyuun kiyyaa farda,  " Jette, gaangeen.
"Abbaan kee eenyu" jennaan, "aayyoon farda" jette gaangeen
Abbaan kufan, ilmaan ka'an
Abbaan lafaa hin deemiin hin jedhu, karaarra qota
Abbaan manaa amma manaa ga'a
Abbaan manaa ammuma manaati ga'aa
Abbaan manaa xiqqaa hin qabu
Abbaan muka alaati, aayyoon utubaa mana
Abbaan muka alaati, haati utubaa mananti
Abbaan of arrabsu malee alagaan nama hin arrabsu
Abbaan of arrabsu malee halagaan nama hin arrabsu
Abbaan of hin argu, dhagaan of hin darbu
Abbaan of jaju malee, gandi nama hin jaju
Abbaan qallatullee mirga rafa
Abbaan qarshii dhabee ilma hin dhabu
Abbaan worraa gowwaa,  eelee cabdetti kolfa
Abbaan dhugaa duunan dhugaan gaggabde 
Abaarri ni bahaa, maqaa hamaan hin bahu
Ambonni ajjeese ganni maqaa fudhata.
"Ammaayyuu," jette, adurreen.
"Ammaa'uu," jette adurreen.
Amma abbee jirutti nyaadhu, amma aduun jirutti kaadhu.
Amma abbee jirutti nyaadhu, amma aduun lixutti kaadhu.
"Amma barri dabrutti garbicchi abba kiyyaa na haa fuudhu," jette intalli.
